date,trades,net_pnl,cumulative_pnl,capital
2022-03-16,5,4.838726497200982e-37,-99999.99999999978,1.5383089926701503e-35
2022-03-17,7,-4.754057713618827e-37,-99999.99999999978,1.490768415533962e-35
2022-03-18,2,-3.643896389307421e-37,-99999.99999999978,1.4543294516408875e-35
2022-03-21,2,-3.7333132124494513e-37,-99999.99999999978,1.416996319516393e-35
2022-03-22,1,-1.793484573747963e-37,-99999.99999999978,1.3990614737789134e-35
2022-03-23,3,-5.5553543961927715e-37,-99999.99999999978,1.3435079298169855e-35
2022-03-24,1,-1.821740358671817e-37,-99999.99999999978,1.3252905262302673e-35
2022-03-25,3,6.004585841427218e-37,-99999.99999999978,1.3853363846445395e-35
2022-03-28,5,-8.979064769555791e-37,-99999.99999999978,1.2955457369489816e-35
2022-03-29,2,-3.5735942228347762e-37,-99999.99999999978,1.259809794720634e-35
2022-03-30,9,2.853296855183389e-37,-99999.99999999978,1.2883427632724679e-35
2022-03-31,5,3.195291779007956e-36,-99999.99999999978,1.6078719411732635e-35
2022-04-01,7,1.1273250870416118e-36,-99999.99999999978,1.7206044498774245e-35
2022-04-04,9,-1.7614846525366177e-36,-99999.99999999978,1.544455984623763e-35
2022-04-05,6,-1.2450173403846797e-36,-99999.99999999978,1.419954250585295e-35
2022-04-06,10,-1.8446504241304007e-36,-99999.99999999978,1.2354892081722547e-35
2022-04-07,5,-8.320540665263997e-37,-99999.99999999978,1.1522838015196146e-35
2022-04-08,5,-5.776374924821398e-37,-99999.99999999978,1.0945200522714006e-35
2022-04-11,5,-7.359272864190714e-37,-99999.99999999978,1.0209273236294935e-35
2022-04-12,15,-1.3848430399403792e-36,-99999.99999999978,8.824430196354556e-36
2022-04-13,2,-4.997992555045161e-38,-99999.99999999978,8.774450270804106e-36
2022-04-19,12,-1.3511590423284929e-36,-99999.99999999978,7.423291228475613e-36
2022-04-20,3,3.1790662980787044e-38,-99999.99999999978,7.455081891456399e-36
2022-04-21,6,-5.9075754354123286e-37,-99999.99999999978,6.864324347915167e-36
2022-04-22,13,-8.738936169788896e-37,-99999.99999999978,5.990430730936275e-36
2022-04-25,14,-1.0549160067095045e-36,-99999.99999999978,4.935514724226771e-36
2022-04-26,3,-1.8834472209113413e-37,-99999.99999999978,4.7471700021356373e-36
2022-04-27,12,-7.112909200180482e-37,-99999.99999999978,4.03587908211759e-36
2022-04-28,5,-2.6670402618252006e-37,-99999.99999999978,3.76917505593507e-36
2022-04-29,1,-5.569492967045956e-38,-99999.99999999978,3.71348012626461e-36
2022-05-02,4,-2.0771503473731503e-37,-99999.99999999978,3.5057650915272955e-36
2022-05-03,2,-9.302842671792404e-38,-99999.99999999978,3.412736664809371e-36
2022-05-04,1,-4.6902253660192064e-38,-99999.99999999978,3.365834411149179e-36
2022-05-05,5,6.724506451482312e-39,-99999.99999999978,3.3725589176006616e-36
2022-05-06,3,-1.0588867237463056e-37,-99999.99999999978,3.266670245226031e-36
2022-05-09,1,-4.359080121399805e-38,-99999.99999999978,3.223079444012033e-36
2022-05-10,6,-2.4411077596403626e-37,-99999.99999999978,2.9789686680479962e-36
2022-05-11,2,-7.339169769809779e-38,-99999.99999999978,2.9055769703498984e-36
2022-05-12,4,-1.4880978744409982e-37,-99999.99999999978,2.7567671829057985e-36
2022-05-13,2,-6.826870740135738e-38,-99999.99999999978,2.688498475504441e-36
2022-05-16,3,-4.65928069315249e-38,-99999.99999999978,2.641905668572916e-36
2022-05-17,1,-3.609267580574751e-38,-99999.99999999978,2.6058129927671684e-36
2022-05-18,1,-3.622924124118596e-38,-99999.99999999978,2.5695837515259825e-36
2022-05-19,8,-2.638191459876813e-37,-99999.99999999978,2.305764605538301e-36
2022-05-20,4,-1.1994879543937465e-37,-99999.99999999978,2.1858158100989265e-36
2022-05-23,4,-1.2019872895488467e-37,-99999.99999999978,2.0656170811440415e-36
2022-05-24,3,-7.893236127262384e-38,-99999.99999999978,1.9866847198714178e-36
2022-05-27,15,-3.1582386851845183e-37,-99999.99999999978,1.6708608513529654e-36
2022-05-30,10,-9.282715789142479e-38,-99999.99999999978,1.5780336934615405e-36
2022-05-31,1,-2.1157354985203072e-38,-99999.99999999978,1.5568763384763375e-36
2022-06-01,6,-1.2434376201434658e-37,-99999.99999999978,1.432532576461991e-36
2022-06-02,1,7.239908211746159e-38,-99999.99999999978,1.5049316585794527e-36
2022-06-03,5,-9.901345706886663e-38,-99999.99999999978,1.405918201510586e-36
2022-06-07,11,-1.3866499737012487e-37,-99999.99999999978,1.2672532041404612e-36
2022-06-08,4,-2.255918830425188e-38,-99999.99999999978,1.2446940158362091e-36
2022-06-09,2,-3.3085494987861583e-38,-99999.99999999978,1.2116085208483475e-36
2022-06-10,6,-1.2527191089053245e-38,-99999.99999999978,1.1990813297592945e-36
2022-06-13,10,-1.5249692680300683e-37,-99999.99999999978,1.0465844029562875e-36
2022-06-14,3,-4.293630392965397e-38,-99999.99999999978,1.0036480990266336e-36
2022-06-15,9,-1.1740899023341334e-37,-99999.99999999978,8.862391087932203e-37
2022-06-16,1,-1.0717727863062082e-38,-99999.99999999978,8.755213809301582e-37
2022-06-17,4,-4.817890929645481e-38,-99999.99999999978,8.273424716337035e-37
2022-06-20,4,-4.405249183509877e-38,-99999.99999999978,7.832899797986046e-37
2022-06-21,6,-6.082272047285924e-38,-99999.99999999978,7.224672593257454e-37
2022-06-22,9,-1.5966395115064844e-38,-99999.99999999978,7.0650086421068056e-37
2022-06-23,4,-3.651699118358163e-38,-99999.99999999978,6.699838730270988e-37
2022-06-27,18,3.887400944727812e-38,-99999.99999999978,7.088578824743768e-37
2022-06-28,3,-2.8158133945211895e-38,-99999.99999999978,6.806997485291649e-37
2022-06-29,5,-4.313871405304576e-38,-99999.99999999978,6.375610344761191e-37
2022-06-30,8,-2.3099862969629864e-38,-99999.99999999978,6.144611715064893e-37
2022-07-01,1,2.5568114837715115e-38,-99999.99999999978,6.400292863442044e-37
2022-07-04,2,-1.6829301133793384e-38,-99999.99999999978,6.2319998521041105e-37
2022-07-05,1,-7.809823622803379e-39,-99999.99999999978,6.153901615876077e-37
2022-07-06,9,-7.132828104413404e-38,-99999.99999999978,5.4406188054347354e-37
2022-07-07,7,-5.043643461630832e-38,-99999.99999999978,4.936254459271652e-37
2022-07-08,6,-3.8632164672352186e-38,-99999.99999999978,4.549932812548131e-37
2022-07-11,8,-4.782166530871194e-38,-99999.99999999978,4.071716159461011e-37
2022-07-12,2,6.753803293937638e-38,-99999.99999999978,4.747096488854775e-37
2022-07-13,2,-1.3264429403071836e-38,-99999.99999999978,4.614452194824057e-37
2022-07-14,4,-2.530557047779699e-38,-99999.99999999978,4.361396490046088e-37
2022-07-15,9,-5.153566783563449e-38,-99999.99999999978,3.846039811689741e-37
2022-07-18,7,-1.2016546615275452e-38,-99999.99999999978,3.725874345536987e-37
2022-07-19,9,-4.4535672029144224e-38,-99999.99999999978,3.280517625245545e-37
2022-07-20,9,7.993094758285052e-39,-99999.99999999978,3.3604485728283957e-37
2022-07-21,7,-3.095304522540557e-38,-99999.99999999978,3.05091812057434e-37
